Match ID,Match Date,Season,Team (Country),Opponent Team,Venue,Player Name,Player Role,Runs,Wickets,Bowling Type,Match Result (Win/Loss)
M001,2026-05-05,2026,South Africa,New Zealand,Sydney,Virat Kohli,Batsman,17,1,Spin,Loss
M002,2026-02-23,2026,Pakistan,Australia,Ahmedabad,Virat Kohli,Batsman,8,1,Fast,Loss
M003,2025-07-16,2025,New Zealand,England,Delhi,Virat Kohli,Bowler,40,3,Medium,Loss
M004,2025-12-12,2025,England,India,Ahmedabad,David Warner,Wicket Keeper,20,1,Fast,Win
M005,2025-06-19,2025,New Zealand,India,Cape Town,KL Rahul,Wicket Keeper,138,1,Spin,Loss
M006,2025-10-20,2025,South Africa,India,Mumbai,David Warner,Batsman,68,0,Spin,Win
M007,2026-03-05,2026,South Africa,Pakistan,Sydney,Shubman Gill,Batsman,39,6,Spin,Win
M008,2025-02-04,2025,South Africa,England,Sydney,Rohit Sharma,All-rounder,109,3,Fast,Loss
M009,2026-04-27,2026,England,Pakistan,Lords,David Warner,Batsman,81,3,Medium,Win
M010,2025-08-03,2025,South Africa,Australia,Mumbai,David Warner,All-rounder,10,6,Spin,Win
M011,2026-02-23,2026,England,South Africa,Sydney,Travis Head,Wicket Keeper,39,4,Fast,Win
M012,2025-07-05,2025,South Africa,New Zealand,Ahmedabad,Joe Root,All-rounder,6,3,Medium,Loss
M013,2026-04-02,2026,Australia,New Zealand,Mumbai,Steve Smith,Batsman,40,5,Spin,Loss
M014,2025-02-18,2025,Australia,New Zealand,Ahmedabad,Rohit Sharma,Batsman,146,6,Medium,Loss
M015,2026-01-23,2026,South Africa,India,Ahmedabad,KL Rahul,Batsman,105,0,Spin,Win
M016,2025-02-26,2025,Pakistan,South Africa,Delhi,Steve Smith,Wicket Keeper,141,0,Fast,Loss
M017,2025-07-21,2025,India,New Zealand,Sydney,Virat Kohli,Batsman,86,2,Fast,Win
M018,2025-08-31,2025,New Zealand,England,Delhi,Kane Williamson,Batsman,70,2,Fast,Win
M019,2025-02-22,2025,India,New Zealand,Cape Town,Steve Smith,Bowler,25,6,Spin,Loss
M020,2025-08-15,2025,South Africa,India,Lords,Babar Azam,Batsman,9,2,Medium,Loss
M021,2025-09-18,2025,South Africa,India,Cape Town,Virat Kohli,Batsman,63,5,Spin,Loss
M022,2026-02-28,2026,Australia,New Zealand,Lords,Shubman Gill,All-rounder,144,1,Medium,Loss
M023,2025-09-05,2025,New Zealand,South Africa,Sydney,Rohit Sharma,Wicket Keeper,20,6,Spin,Loss
M024,2025-12-21,2025,New Zealand,India,Ahmedabad,Babar Azam,Bowler,38,3,Fast,Win
